moo,,БУМАГА НА 01/06/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,ФАКТУРА,НАТУРАЛ,МЕТАЛЛ,СОФТ,СПИСАТЬ,КОНВЕРТ
ДИЗАЙНЕРСКАЯ БУМАГА,,,,,,,,,,,"остаток, лист",,,,,,
ПОСТАВЩИК,ПРИХОД,НАИМЕНОВАНИЕ,ФОРМАТ,КОЛ-ВО,,,,ЦЕНА с ндс,"ЦВЕТ, ФАКТУРА",ПЛОТНОСТЬ,01/06/26,,,,,,
НАТУРАЛЬНАЯ,,,,,,,,,,,,,,,,,
Бумажная компания,ТТН 2183234 от 19.05.23г.,"Бумага дизайнерская REMAKE ЭКО гладкая, medium, небесно-бирюзовый, 120г/м2",лист SRA3,20,"0,57","1,58","0,90","1,08",ЭКО-БИРЮЗОВЫЙ,120,20,,,,,,
Люмитекс,ТТН0482236 от 18.12.25г.,"Бумага FEDRIGONI ARENA ROUGN NATURAL 300г/м2, Италия",лист SRA3,160,"1,08","1,62","1,75","2,10",НАТУРАЛЬНАЯ АКВАРЕЛЬ,300,67,,,,,,
Люмитекс,ТТН5663774 от 02.10.25г.,"Бумага дизайнерская Biancoflash Ivory Айвори, 300г/м2, Италия",лист SRA3,80,"1,08","1,62","1,75","2,10",АЙВОРИ ГЛАДКАЯ,300,39,,,,,,
Бумажная компания,ТТН 2183233 от 19.05.23г.,"Бумага дизайнерская CRUSH Grape Виноград, 250г/м2, Италия",лист SRA3,19,"0,75","2,00","1,50","1,80",ЭКО-РОЗОВО-БЕЖЕВЫЙ,250,9,,,,,,
Бумажная компания,ТТН1090177 от 31.07.24г.,"Бумага дизайнерская CRUSH Oliva Олива, 250г/м2, Италия",лист SRA3,40,"0,89","1,69","1,50","1,80",ЭКО - ОЛИВКОВЫЙ,250,39,,,,,,
Бумажная компания,ТТН5637643 от 28.08.24г.,"Бумага дизайнерская CRUSH Com Кукуруза, 250г/м2, Италия",лист SRA3,5,"0,79","1,90","1,50","1,80",ЭКО-БЕЖЕВЫЙ С ВКРАПЛЕНИЯМИ,250,9,,,,,,
Бумажная компания,ТТН0126516 от 16.10.24г.,"Бумага дизайнерская CRUSH Com Кукуруза, 250г/м2, Италия",лист SRA3,6,"0,79","1,90","1,50","1,80",ЭКО-БЕЖЕВЫЙ С ВКРАПЛЕНИЯМИ,250,,,,,,,
Бумажная компания,ТТН1090177 от 31.07.24г.,"Бумага дизайнерская CRUSH Kiwi Киви, 250г/м2, Италия",лист SRA3,40,"0,89","1,69","1,50","1,80",ЭКО-СВЕТЛО ЗЕЛЕНЫЙ,250,17,,,,,,
Бумажная компания,ТТН0510161 от 07.06.24г.,"Бумага дизайнерская CRUSH Citrus Цитрус, 250г/м2, Италия",лист SRA3,3,"0,81","1,85","1,50","1,80",ЭКО,250,3,,,,,,
АртПапера,ТН2137442 от 13.10.25г.,"Бумага дизайнерская Imagin Lighte Craft, 300г/м2, Китай",лист SRA3,20,"1,25","1,40","1,75","2,10",КРАФТ СВЕТЛЫЙ,300,,,,,,,
Бумажная компания,ТТН1706574 от 03.06.25г.,"Крафт бумага Kraft brown 300г/м2, Китай",лист SRA3,11,"0,71","2,46","1,75","2,10",КРАФТ КОРИЧНЕВЫЙ,300,,,,,,,
Бумажная компания,ТТН1706574 от 03.06.25г.,"Крафт бумага Kraft Light 350г/м2, Китай",лист SRA3,25,"1,40","1,43","2,00","2,40",КРАФТ СВЕТЛЫЙ,350,,,,,,,
2026,,,,,,,,,,,,,,,,,
